State or Territory Name,2023,2022,2021,2020,2019,2018,2017,2016,2015,,,,,,,,,,,,
New Jersey (NJ),"$86,411,975,564","$89,255,930,618","$106,783,779,893","$94,935,152,663","$66,879,237,667","$66,017,017,883","$64,167,183,080","$60,021,449,077","$57,799,507,098",,,,,,,,,,,,
New Mexico (NM),"$38,027,130,359","$37,360,600,374","$41,406,012,684","$35,834,457,621","$27,909,560,099","$26,060,642,093","$24,417,175,175","$21,628,443,382","$21,110,764,032",,,,,,,,,,,,
New York (NY),"$239,729,482,881","$268,855,780,234","$301,232,336,942","$263,477,370,334","$182,482,730,241","$174,527,018,792","$174,020,218,389","$154,160,401,003","$147,468,146,711",,,,,,,,,,,,
North Carolina (NC),"$100,707,132,562","$98,726,996,231","$117,781,314,060","$105,191,982,988","$77,001,653,879","$71,707,136,288","$67,696,832,757","$58,990,741,174","$56,825,666,459",,,,,,,,,,,,
North Dakota (ND),"$82,014,141,810","$70,940,445,092","$76,244,761,503","$91,528,593,663","$72,361,770,002","$68,943,838,077","$66,218,495,570","$62,060,440,842","$59,694,585,028",,,,,,,,,,,,
Ohio (OH),"$116,581,332,818","$113,009,758,364","$139,799,536,652","$127,222,405,487","$90,174,966,712","$85,253,882,799","$83,463,248,694","$73,014,140,178","$70,218,091,888",,,,,,,,,,,,
Oklahoma (OK),"$45,000,512,030","$43,569,756,185","$56,259,436,523","$46,201,793,318","$32,032,567,185","$30,337,433,507","$29,199,830,499","$25,570,635,949","$23,897,702,112",,,,,,,,,,,,
Oregon (OR),"$52,132,180,542","$49,358,639,155","$58,793,740,920","$52,450,928,724","$37,187,422,932","$35,241,426,593","$34,297,083,049","$29,959,276,621","$30,013,552,295",,,,,,,,,,,,
Pennsylvania (PA),"$256,186,379,946","$231,320,837,277","$262,732,102,369","$279,262,940,688","$219,407,309,572","$209,155,392,168","$202,645,080,268","$191,265,879,253","$186,845,321,064",,,,,,,,,,,,
Rhode Island (RI),"$13,909,231,106","$13,767,279,908","$16,736,449,595","$15,096,086,318","$10,132,517,294","$9,797,360,114","$9,288,399,523","$85,298,793,834","$8,819,765,462",,,,,,,,,,,,
South Carolina (SC),"$123,087,803,697","$110,443,265,317","$124,902,159,915","$134,015,924,333","$110,057,340,191","$98,798,261,069","$79,979,235,012","$74,922,301,845","$71,593,677,471",,,,,,,,,,,,
South Dakota (SD),"$9,810,472,128","$10,936,199,703","$14,018,893,014","$13,050,993,358","$7,921,488,293","$7,295,968,792","$6,853,313,969","$6,016,142,128","$5,269,559,125",,,,,,,,,,,,
Tennessee (TN),"$102,846,478,960","$96,252,026,935","$113,276,220,706","$109,613,171,749","$85,958,801,657","$82,484,267,038","$80,746,199,129","$72,660,602,089","$71,278,380,000",,,,,,,,,,,,
Texas (TX),"$293,388,956,946","$277,688,591,789","$349,704,697,285","$321,173,661,826","$206,856,158,867","$206,449,240,584","$193,367,799,115","$158,411,550,786","$151,700,179,399",,,,,,,,,,,,
Utah (UT),"$26,882,879,421","$25,623,768,748","$29,542,146,775","$26,826,220,070","$17,423,919,538","$16,176,717,150","$15,342,438,977","$13,546,916,351","$13,074,638,836",,,,,,,,,,,,
Vermont (VT),"$7,962,507,502","$7,654,194,835","$9,854,455,826","$9,262,606,831","$5,749,435,073","$5,628,460,853","$5,461,207,774","$5,194,640,796","$4,759,209,088",,,,,,,,,,,,
Virginia (VA),"$183,550,106,458","$162,547,857,777","$165,552,915,662","$149,345,032,781","$116,438,034,163","$108,994,342,525","$99,919,326,195","$89,600,820,860","$86,716,120,717",,,,,,,,,,,,
Washington (WA),"$85,100,931,746","$79,304,466,746","$99,231,996,604","$87,058,704,877","$66,428,986,749","$61,155,702,640","$57,603,643,149","$54,613,892,365","$50,500,779,293",,,,,,,,,,,,
West Virginia (WV),"$22,773,064,042","$22,141,300,035","$26,038,930,421","$23,411,626,069","$18,010,601,003","$16,981,005,613","$17,162,993,570","$14,005,184,567","$14,440,956,272",,,,,,,,,,,,
Wisconsin (WI),"$103,524,675,853","$95,337,728,658","$110,320,507,916","$125,937,941,067","$94,213,926,121","$89,585,221,928","$87,426,514,940","$81,960,519,466","$81,180,246,732",,,,,,,,,,,,
Wyoming (WY),"$5,932,643,999","$6,185,836,487","$8,343,746,056","$7,762,256,985","$4,589,503,215","$4,425,409,425","$3,997,941,002","$3,421,726,408","$3,214,551,673",,,,,,,,,,,,
American Samoa (AS),"$493,534,494","$538,262,218","$1,407,947,935","$581,117,577","$485,151,916","$342,962,352","$253,496,196","$205,710,164","$170,308,359",,,,,,,,,,,,
Guam (GU),"$3,660,353,578","$2,989,544,744","$5,217,523,365","$3,183,726,308","$1,915,369,986","$1,661,911,515","$1,515,437,256","$1,287,750,562","$1,391,102,852",,,,,,,,,,,,
Northern Mariana Islands (MP),"$843,540,090","$555,186,761","$2,346,062,368","$762,947,555","$594,989,058","$296,549,231","$312,344,699","$200,131,642","$168,193,972",,,,,,,,,,,,
Puerto Rico (PR),"$39,643,871,363","$39,033,498,556","$65,133,422,916","$49,256,742,056","$30,461,908,850","$37,337,712,909","$23,622,071,273","$21,079,080,335","$19,384,286,252",,,,,,,,,,,,
U.S. Virgin Islands (VI),"$3,724,769,325","$1,875,723,087","$3,170,118,743","$2,616,292,747","$1,681,108,770","$2,706,451,584","$844,391,671","$635,668,041","$579,561,679",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
